names_paul	## Facts:\n\nPaul was a leader of the early church who was sent by Jesus to take the good news to many other people groups.\n\n* Paul was a Jew who was born in the Roman city of Tarsus, and was therefore also a Roman citizen.\n* Paul was originally called by his Jewish name, Saul.\n* Saul became a Jewish religious leader and arrested Jews who became Christians because he thought they were dishonoring God by believing in Jesus.\n* Jesus revealed himself to Saul in a blinding light and told him to stop hurting Christians.\n* Saul believed in Jesus and began teaching his fellow Jews about him.\n* Later, God sent Saul to teach non-Jewish people about Jesus and started churches in different cities and provinces of the Roman empire. At this time he started being called by the Roman name “Paul.”\n* Paul also wrote letters to encourage and teach Christians in the churches in these cities. Several of these letters are in the New Testament.\n\n\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n* \n* \n\n## Examples from the Bible stories:\n\n* ____ A young man named __Saul__ agreed with the people who killed Stephen and guarded their robes while they threw stones at him.\n* ____ __Saul__ was the young man who guarded the robes of the men who killed Stephen. He did not believe in Jesus, so he persecuted the believers.\n* ____ While __Saul__ was on his way to Damascus, a bright light from heaven shone all around him, and he fell to the ground. __Saul__ heard someone say, “__Saul__! __Saul__! Why do you persecute me?”\n* ____ So Ananias went to __Saul__, placed his hands on him, and said, “Jesus who appeared to you on your way here, sent me to you so that you can regain your sight and be filled with the Holy Spirit.” __Saul__ immediately was able to see again, and Ananias baptized him.\n* ____ Right away, __Saul__ began preaching to the Jews in Damascus, saying, “Jesus is the Son of God!”\n* ____ Barnabas and __Saul__ went there  to teach these new believers more about Jesus and to strengthen the church.\n* ____ As __Saul__ traveled throughout the Roman Empire, he began to use his Roman name, “__Paul__.”\n* ____ __Paul__ and other Christian leaders traveled to many cities, preaching and teaching people the good news about Jesus.\n\n## Word Data:\n\n* Strong’s: G39720, G45690
names_timothy	## Facts:\n\nTimothy was a young man from Lystra. He later joined Paul on several missionary trips and helped shepherd new communities of believers.\n\n* Timothy’s father was a Greek, but both his grandmother Lois and his mother Eunice were Jews and believers in Christ.\n* The elders and Paul formally appointed Timothy for the ministry by placing their hands on him and praying for him.\n* Two books in the New Testament  are letters written by Paul that provide guidance to Timothy as a young leader of local churches.\n\n\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n* \n* \n* \n\n## Word Data:\n\n* Strong’s: G50950
other_servant	## Definition:\n\nA “servant” or “slave” refers to a person who works for  another person, either by choice or by force. A servant was under his master's control. In the Bible, “servant” and “slave” are mostly interchangable terms.\nThe term “serve” generally means to do work for someone, and the concept can be applied in a wide variety of contexts.\n\n* A slave was a kind of servant who was the property of the person he worked for. The person who bought a slave was called his “owner” or “master.” Some masters treated their slaves cruelly. Other masters treated their slaves well, like a valued member of the household. The term “slavery” means the state of being a slave.\n* A person could be a slave temporarily, for instance while working to repay a debt to his owner.\n* The words “young man” or “young woman” often mean “servant” or “slave.” This meaning will be discerned from context. One indicator of this situation is if the possessive is used, eg. “her young women” could be translated as “her servants” or “her slaves.”\n* The term “enslave” means “to cause to be a slave” .\n* The New Testament speaks of human beings as “slaves of sin” until Jesus frees them from its control and power. When a person receives new life in Christ, he stops being a slave to sin and becomes a slave to righteousness.\n\n## Translation Suggestions\n\n* The term “serve” can also be translated as “minister to” or “work for” or “take care of” or “obey,” depending on the context.\n* The term “enslave” could be translated as “cause to not be free” or “force to serve others” or “put under the control of others.”\n* The phrase “enslaved to” or “in bondage to” could be translated as “forced to be a slave of” or “forced to serve” or “under the control of.”\n* To “serve God” can be translated as to “worship and obey God” or to “do the work that God has commanded.”\n* In the Old Testament, God’s prophets and other people who worshiped God were often called his “servants.”\n* In the New Testament, people who obeyed God through faith in Christ were often called his “servants.”\n* To “serve tables” means to bring food to people who are sitting at tables, or more generally, to “distribute food.”\n* In the context of a person serving guests, this term means “care for” or “serve food to” or “provide food for.” When Jesus told the disciples to “serve” the fish to the people, this could be translated as, “distribute” or “hand out” or “give.”\n* People who teach others about God are said to serve both God and the ones they are teaching.\n* The apostle Paul wrote to the Corinthian Christians about how they used to “serve” the old covenant. This refers to obeying the laws of Moses. Now they “serve” the new covenant. That is, because of Jesus’ sacrifice on the cross, believers in Jesus are enabled by the Holy Spirit to please God and live holy lives.\n* Paul talks about their actions in terms of their “service” to either the old or new covenant. This could be translated as “serving” or “obeying” or “devotion to.”\n* Often, when a person referred to himself as “your servant” he was showing respect to the person addressed. That person may have had higher social status, or the speaker may be showing humility. It did not mean that the person speaking was an actual servant.\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n\n## Examples from the Bible stories:\n\n* ____ When Abraham was very old and his son, Isaac, had grown to be a man, Abraham sent one of his __servants__ back to the land where his relatives lived to find a wife for his son, Isaac.\n* ____ The __slave__ traders sold Joseph as a __slave__ to a wealthy government official.\n* ____ “I  will send you  to Pharaoh so that you can bring the Israelites out of their __slavery__ in Egypt.”\n* ____ Then Elijah prayed, “O Yahweh, God of Abraham, Isaac, and Jacob, show us today that you are the God of Israel and that I am your __servant__.”\n* ____ “Since the __servant__ could not pay the debt, the king said, ‘Sell this man and his family as __slaves__ to make payment on his debt.’”\n* ____ “All my father’s __servants__ have plenty to eat, and yet here I am starving.”\n* ____ The __slave__ girl kept yelling as they walked, “These men are servants of the Most High God.”\n* ____ Jesus also said, “A __servant__ is not greater than his master.”\n\n## Word Data:\n\n*  Strong’s: H0519, H5288, H5647, H5649, H5650, H5657, H7916, H8198, H8334, G12490, G14010, G14020, G23240, G34070, G34110, G36100, G38160, G49830, G52570\n*  H3547, H4929, H4931, H5647, H5656, H5673, H5975, H6213, H6399, H6402, H6440, H6633, H6635, H7272, H8104, H8120, H8199, H8278, H8334, G12470, G12480, G13980, G14020, G14380, G19830, G20640, G22120, G23230, G29990, G30000, G30090, G43370, G43420, G47540, G50870, G52560\n*  H3533, G26150
kt_christ	## Facts:\n\nThe terms “Messiah” and “Christ” mean “Anointed One” and refer to Jesus, God’s Son.\n\n* Both “Messiah” and “Christ” are used in the New Testament to refer to God’s Son, whom God the Father appointed to rule as king over his people, and to save them from sin and death.\n* In the Old Testament, the prophets wrote prophecies about the Messiah hundreds of years before he came to earth.\n* Often a word meaning “anointed ” is used in the Old Testament to refer to the Messiah who would come.\n* Jesus fulfilled many of these prophecies and did many miraculous works that proves he is the Messiah; the rest of these prophecies will be fulfilled when he returns.\n* The word “Christ” is often used as a title, as in “the Christ” and “Christ Jesus.”\n* “Christ” also came to be used as part of his name, as in “Jesus Christ.”\n\n## Translation Suggestions:\n\n* This term could be translated using its meaning, “the Anointed One” or “God’s Anointed Savior.”\n* Many languages use a transliterated word that looks or sounds like “Christ” or “Messiah.” \n* The transliterated word could be followed by the definition of the term as in, “Christ, the Anointed One.”\n* Be consistent in how this is translated throughout the Bible so that it is clear that the same term is being referred to.\n* Make sure the translations of “Messiah” and “Christ” work well in contexts where both terms occur in the same verse .\n\n\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n* \n* \n* \n* \n\n## Examples from the Bible stories:\n\n* ____ The __Messiah__ was God’s Chosen One who would save the people of the world from sin.\n* ____ As it happened, the Israelites would have to wait a long time before the __Messiah__ came, almost 1,000 years.\n* ____ From the very beginning, God planned to send the __Messiah__.\n* ____ God promised King David that the __Messiah__ would be one of David’s own descendants.\n* ____ The __Messiah__ would start the New Covenant.\n* ____ God’s prophets also said that the __Messiah__ would be a prophet, a priest, and a king.\n* ____ The prophet Isaiah prophesied that the __Messiah__ would be born from a virgin.\n* ____ “But God raised him to life again to fulfill the prophecy which says, ‘You will not let your __Holy One__ rot in the grave.’”\n* ____ “But know for certain that God has caused Jesus to become both Lord and __Messiah__!”\n* ____ Peter answered them, “Every one of you should repent and be baptized in the name of Jesus __Christ__ so that God will forgive your sins.”\n* ____ Saul reasoned with the Jews, proving that Jesus was the __Messiah__.\n\n## Word Data:\n\n* Strong’s: H4899, G33230, G55470
kt_jesus	## Facts:\n\nJesus is God’s Son. The name “Jesus” means “Yahweh saves.” The term “Christ” is a title that means “anointed one” and is another word for Messiah.\n\n* The two names are often combined as “Jesus Christ” or “Christ Jesus.” These names emphasize that God’s Son is the Messiah, who came to save people from being punished eternally for their sins.\n* In a miraculous way, the Holy Spirit caused the eternal Son of God to be born as a human being. His mother was told by an angel to call him “Jesus” because he was destined to save people from their sins.\n* Jesus did many miracles that revealed that he is God and that he is the Christ, or the Messiah.\n\n## Translation Suggestions:\n\n* In many languages “Jesus” and “Christ” are spelled in a way that keeps the sounds or spelling as close to the original as possible. For example, “Jesucristo,” “Jezus Christus,” “Yesus Kristus”, and “Hesukristo” are some of the ways that these names are translated into different languages.\n* For the term “Christ,” some translators may prefer to use only some form of the term “Messiah” throughout.\n* Also consider how these names are spelled in a nearby local or national language.\n\n\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n* \n\n## Examples from the Bible stories:\n\n* ____ The angel said, “You will become pregnant and give birth to a son. You are to name him __Jesus__ and he will be the Messiah.”\n* ____ “Name him __Jesus__ , because he will save the people from their sins.”\n* ____ So John baptized him , even though __Jesus__ had never sinned.\n* ____ There is only one God. But John heard God the Father speak, and saw __Jesus__ the Son and the Holy Spirit when he baptized __Jesus__.\n* ____ __Jesus__ did not give in to Satan’s temptations, so Satan left him.\n* ____ Then __Jesus__ went throughout the region of Galilee, and large crowds came to him. They brought many people who were sick or handicapped, including those who could not see, walk, hear, or speak, and __Jesus__ healed them.\n* ____ Then __Jesus__ finished praying and went to the disciples. He walked on top of the water across the lake toward their boat!\n* ____ He  knew that the Jewish leaders denied that __Jesus__ was the Messiah and that they were plotting to kill him.\n* ____ Through his death, __Jesus__ opened a way for people to come to God.\n* ____ Then __Jesus__ was taken up to heaven, and a cloud hid him from their sight. __Jesus__ sat down at the right hand of God to rule over all things.\n* ____ __Jesus__ and his people will live on the new earth, and he will reign forever over everything that exists. He will wipe away every tear and there will be no more suffering, sadness, crying, evil, pain, or death. __Jesus__ will rule his kingdom with peace and justice, and he will be with his people forever.\n\n## Word Data:\n\n* Strong’s: G24240, G55470
kt_saint	## Definition:\n\nThe term “saints” literally means “holy ones” and refers to believers in Jesus.\n\n* Later in church history, a person known for his good works was given the title “saint,” but that was not how this term was used during New Testament times.\n* Believers in Jesus are saints or holy ones, not because of what they have done, but rather because of their faith in the saving work of Jesus Christ. He is the one who makes them holy.\n\n## Translation Suggestions:\n\n* Ways to translate “saints” could include “holy ones” or “holy people” or “holy believers in Jesus” or “set apart ones.”\n* Be careful not to use a term that refers to people of only one Christian group.\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n\n## Word Data:\n\n* Strong’s: H2623, H6918, H6922, G00400
kt_inchrist	## Definition:\n\nThe phrase “in Christ” and related terms refer to the state or condition of being in relationship with Jesus Christ through faith in him.\n\n* Other related terms include “in Christ Jesus, in Jesus Christ, in the Lord Jesus, in the Lord Jesus Christ.”\n* Possible meanings for the term “in Christ” could include “because you belong to Christ” or “through the relationship you have with Christ” or “based on your faith in Christ.”\n* These related terms all have the same meaning of being in a state of believing in Jesus and being his disciple.\n* Note: Sometimes the word “in” belongs with the verb. For example, “share in Christ” means to “share in” the benefits that come from knowing Christ. To “glory in” Christ means to be glad and give praise to God for who Jesus is and what he has done. To “believe in” Christ means to trust him as Savior and know him.\n\n## Translation Suggestions:\n\n* Depending on the context, different ways to translate “in Christ” and “in the Lord”  could include:\n\n    * “who belong to Christ”\n    * “because you believe in Christ”\n    * “because Christ has saved us”\n    * “in service to the Lord”\n    * “relying on the Lord”\n    * “because of what the Lord has done.”\n\n* People who “believe in” Christ or who “have faith in” Christ believe what Jesus taught and are trusting him to save them because of his sacrifice on the cross that paid the penalty for their sins. Some languages may have one word that translates verbs like “believe in” or “share in” or “trust in.”\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n* \n* \n* \n* \n\n## Word Data:\n\n* Strong’s: G15190, G29620, G55470
names_philippi	## Facts:\n\nPhilippi was a major city and Roman colony located in Macedonia in the northern part of ancient Greece. People in Philippi were called Philippians.\n\n* Paul and Silas traveled to Philippi to preach about Jesus to the people there.\n* While in Philippi, Paul and Silas were arrested, but God miraculously freed them.\n* The New Testament book of Philippians is a letter that the apostle Paul wrote to the Christians in the church at Philippi.\n* Note that this is a different city from Caesarea Philippi which was located in northeastern Israel near Mount Hermon.\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n\n## Examples from the Bible stories:\n\n* ____ One day, Paul and his friend Silas went to the town of __Philippi__ to proclaim the good news about Jesus.\n* ____ The next day the leaders of the city released Paul and Silas from prison and asked them to leave __Philippi__.\n\n## Word Data:\n\n* Strong’s: G53740, G53750
other_overseer	## Definition:\n\nThe term “overseer” refers to a person who is in charge of the work and welfare of other people. In the Bible, often the term “keeper” means “overseer.”\n\n* In the Old Testament, an overseer had the job of making sure the workers under him did their work well.\n* In the New Testament, this term is used to describe leaders of the early Christian church. Their work was to take care of the spiritual needs of the church, making sure the believers received accurate biblical teaching.\n* Paul refers to an overseer as being like a shepherd who takes care of the believers in a local church, who are his “flock.”\n* The overseer, like a shepherd, keeps watch over the flock. He guards and protects the believers from false spiritual teaching and other evil influences.\n* In the New Testament, the terms “overseers,” “elders,” and “shepherds/pastors” are different ways of referring to the same spiritual leaders.\n\n## Translation Suggestions\n\n* Other ways to translate this term could be “supervisor” or “caretaker” or “manager.”\n* When referring to a leader of a local group of God’s people, this term could be translated with a word or phrase that means “spiritual supervisor” or “someone who takes care of the spiritual needs of a group of believers” or “person who oversees the spiritual needs of the Church.”\n\n\n\n## Bible References:\n\n* \n* \n* \n* \n* \n\n## Word Data:\n\n* Strong’s: H5329, H6485, H6496, H7860, H8104, G19830, G19840, G19850
kt_deacon	## Definition:\n\nA deacon is a person who serves in the local church, helping fellow believers with practical needs, such as food or money.\n\n* The word “deacon” is taken directly from a Greek word meaning “servant” or “minister.”\n* From the time of the early Christians, being a deacon has been a well-defined role and ministry in the Church body.\n* For example, in the New Testament, deacons would make sure that whatever money or food that the believers shared would be distributed fairly to the widows among them.\n* The term “deacon” could also be translated as “church minister” or “church worker” or “church servant,” or some other phrase that shows that the person has been formally appointed to do specific tasks that benefit the local Christian community.\n\n, \n\n## Bible References:\n\n* \n* \n* \n\n## Word Data:\n\n* Strong’s: G12490
