TIT 1:1	TIT 1:4	idm162665	 L'ouverture de Tite, comme celle de 1 Timothée (*1 Tm 1 : 1-2*), établit l'autorité de Paul sur son délégué.\n\n
TIT 1:1	TIT 1:1	idm162672	 **et d'enseigner… une vie pieuse : **Voir *2:11-14* ; *1 Tim 6:3.*.\n\n
TIT 1:2	TIT 1:2	idm162681	 L'**assurance qu'ils ont la vie éternelle **permet au peuple de Dieu de vivre le présent à la lumière de l'avenir (voir *2:11-14*; *3:7-8*). • **Dieu — qui ne ment pas : **Le vrai Dieu contraste avec les conceptions populaires crétoises (voir *la note d'étude sur 1:12*). Cette déclaration souligne également que le plan de salut de Dieu est immuable (*1:1*) : on peut faire confiance à Dieu pour tenir ses promesses (voir *Nb 23:19 * ; *1 Sam 15:29*; *Rm 3 : 3-4*).\n\n
TIT 1:3	TIT 1:3	idm162696	 **au bon moment : **L'initiative revient entièrement à Dieu, qui exécute son plan selon son propre calendrier par sa propre volonté (voir *3:5*; *1 Tim 2 : 6 *; *2 Tim 1:10*).• ** Dieu notre Sauveur : **Dans *Tite 1 : 4*, Jésus est aussi appelé « notre Sauveur », identifiant Jésus à Dieu (voir *2:10*, *13* ; *3:4*, *6*).\n\n
TIT 1:4	TIT 1:4	idm162712	 **Tite **était le délégué de Paul dauprès de l'église en Crète. • **mon vrai fils : **La formulation autorise le délégué (comme dans *1 Tim 1 : 2*).\n\n
TIT 1:5	TIT 1:16	idm162721	 Les églises de Crète avaient besoin d'une direction forte et fidèle pour faire face au danger des faux enseignants (*1:10-16*). Cette partie de la tâche de Tite s'inscrit dans le cadre plus large de la lettre : former une communauté qui témoigne du Christ en incarnant la grâce de Dieu dans sa conduite Cp.* 1 Tim 3 : 1-7*.\n\n
TIT 1:5	TIT 1:9	idm162729	 Tite a été chargé de nommer des responsables afin d'**achever notre travail sur place, c'est-**à-dire d'établir l'Église (cp.* 1 Tim 3 : 1-13*). Les diacres ne sont pas mentionnés, peut-être parce qu'il s'agissait de nouvelles et petites églises.•  Ces qualités de leadership pourraient être une adaptation à la nouveauté de ces convertis et à la rudesse de leur culture. On suppose que les anciens seront des hommes (voir *1 Tim 3 : 4-5*).\n\n
TIT 1:5	TIT 1:5	idm162738	 **La Crète **était située en Méditerranée, au sud de la mer Égée. C'était un lieu important pour les voyages et le commerce par voie maritime, de sorte qu'il avait un mélange d'influences, y compris une population juive. Quelques-uns de Crète avaient participé à la Pentecôte (*Actes 2:11*), mais cette lettre semble concerner une église naissante. • **anciens dans chaque ville : Il est possible qu'**il y ait eu plus d'une église de maison dans une ville donnée et peut-être plus d'un ancien dans une église de maison donnée. Il est clair qu'il y avait des églises dans au moins deux villes et la direction était spécifique à chaque ville.\n\n
TIT 1:6	TIT 1:6	idm162747	 **doit être fidèle à sa femme : **Voir la note d'*étude sur 1 Tim 3:2*. • **sauvage ou rebelle : **Cela reflète probablement la culture crétoise avec ses normes morales peu élevées (*Titus 1:12*).\n\n
TIT 1:7	TIT 1:7	idm162757	 **Un responsable d'église **(ou * un surveillant* ou *un évêque*) e**est un gestionnaire de la maison de Dieu : **Voir *1:11*; *2:2-10* ; * 1 Tim 1:4* ; *3:4-5*, *12*, *15* ; *2 Tim 2:20-21*.•  Ces qualités indiquent qu'un ancien ne devrait se mêler aux masses crétoises (voir *Tite 1:12*).\n\n
TIT 1:9	TIT 1:9	idm162775	 Les anciens avaient un rôle prépondérant dans l'enseignement de la communauté. Cela a pu s'avérer nécessaire pour faire face à la menace immédiate qui pesait sur ces communautés particulières (comme aussi à Éphèse ; voir 1* Tim 3 : 1)*.•  Ce n'est **qu'en croyant fermement **en la Bonne Nouvelle qu'un ancien **peut **dispenser**un enseignement sain **. Les préoccupations spécifiques de Paul sont abordées dans *Tite 2 : 1-3 : 11*, à la lumière des problèmes mentionnés *1:10-16**3:9-11*dans et (voir aussi *1 Tim 1:10*).•  Tite avait un rôle similaire (cp.* Tite 1:13 *; *2:15*;)*3:10-11*. Les responsables locaux reprennent le flambeau là où Paul et ses délégués l'ont laissé.• ** Ceux qui s'y opposent **sont décrits dans *1:10-16*.\n\n
TIT 1:10	TIT 1:16	idm162794	 Au sein d'une population autochtone composée de fauteurs de troubles, Tite devra faire preuve de fermeté pour débarrasser ces communautés chrétiennes de la corruption et les rendre saines dans la foi (*1:13-16*).\n\n
TIT 1:10	TIT 1:10	idm162801	 **peuple rebelle : **Le même mot grec est utilisé pour les enfants dans  *1:6*. • **ceux qui insistent sur la circoncision pour le salut **(littéralement *ceux de la circoncision *) : il s'agit probablement aux chrétiens juifs ; l'expression grecque laisse ouverte la question de savoir s'ils exigeaient ou non la circoncision des Gentils. La saveur juive de ce faux enseignement est suggérée dans *1:14-15* et *3:9*.\n\n
TIT 1:11	TIT 1:11	idm162813	 **en détournant des familles entières : **C'est également ce qui s'est passé à Éphèse (cp.* 1 Tim 4 : 3* ; *2 Tim 2:18 *; *3:6*). • **seulement pour de l'argent : **Les anciens ne doivent pas avoir cette caractéristique (*Tite 1 : 7* ; voir aussi*1 Tim 6 : 5-10* ; * 2 Cor 2:17* ;* 1 Pierre 5 : 2*).\n\n
